,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,data
0,176560,Google Phone,1,600,04/12/19 14:38,"669 Spruce St, Los Angeles, CA 90001",12/04/2019 14:38
1,176560,Wired Headphones,1,11.99,04/12/19 14:38,"669 Spruce St, Los Angeles, CA 90001",12/04/2019 14:38
2,176574,Google Phone,1,600,04/03/19 19:42,"20 Hill St, Los Angeles, CA 90001",03/04/2019 19:42
3,176574,USB-C Charging Cable,1,11.95,04/03/19 19:42,"20 Hill St, Los Angeles, CA 90001",03/04/2019 19:42
4,176585,Bose SoundSport Headphones,1,99.99,04/07/19 11:31,"823 Highland St, Boston, MA 02215",07/04/2019 11:31
5,176585,Bose SoundSport Headphones,1,99.99,04/07/19 11:31,"823 Highland St, Boston, MA 02215",07/04/2019 11:31
6,176586,AAA Batteries (4-pack),2,2.99,04/10/19 17:00,"365 Center St, San Francisco, CA 94016",10/04/2019 17:00
7,176586,Google Phone,1,600,04/10/19 17:00,"365 Center St, San Francisco, CA 94016",10/04/2019 17:00
8,176672,Lightning Charging Cable,1,14.95,04/12/19 11:07,"778 Maple St, New York City, NY 10001",12/04/2019 11:07
9,176672,USB-C Charging Cable,1,11.95,04/12/19 11:07,"778 Maple St, New York City, NY 10001",12/04/2019 11:07
10,176681,Apple Airpods Headphones,1,150,04/20/19 10:39,"331 Cherry St, Seattle, WA 98101",20/04/2019 10:39
11,176681,ThinkPad Laptop,1,999.99,04/20/19 10:39,"331 Cherry St, Seattle, WA 98101",20/04/2019 10:39
12,176689,Bose SoundSport Headphones,1,99.99,04/24/19 17:15,"659 Lincoln St, New York City, NY 10001",24/04/2019 17:15
13,176689,AAA Batteries (4-pack),2,2.99,04/24/19 17:15,"659 Lincoln St, New York City, NY 10001",24/04/2019 17:15
14,176739,34in Ultrawide Monitor,1,379.99,04/05/19 17:38,"730 6th St, Austin, TX 73301",05/04/2019 17:38
15,176739,Google Phone,1,600,04/05/19 17:38,"730 6th St, Austin, TX 73301",05/04/2019 17:38
16,176774,Lightning Charging Cable,1,14.95,04/25/19 15:06,"372 Church St, Los Angeles, CA 90001",25/04/2019 15:06
17,176774,USB-C Charging Cable,1,11.95,04/25/19 15:06,"372 Church St, Los Angeles, CA 90001",25/04/2019 15:06
18,176781,iPhone,1,700,04/03/19 07:37,"976 Hickory St, Dallas, TX 75001",03/04/2019 07:37
19,176781,Lightning Charging Cable,1,14.95,04/03/19 07:37,"976 Hickory St, Dallas, TX 75001",03/04/2019 07:37
20,176797,Google Phone,1,600,04/21/19 08:54,"923 Elm St, Los Angeles, CA 90001",21/04/2019 08:54
21,176797,Bose SoundSport Headphones,1,99.99,04/21/19 08:54,"923 Elm St, Los Angeles, CA 90001",21/04/2019 08:54
22,176797,Wired Headphones,1,11.99,04/21/19 08:54,"923 Elm St, Los Angeles, CA 90001",21/04/2019 08:54
23,176805,Google Phone,1,600,04/01/19 15:50,"91 Lincoln St, Portland, OR 97035",01/04/2019 15:50
24,176805,USB-C Charging Cable,1,11.95,04/01/19 15:50,"91 Lincoln St, Portland, OR 97035",01/04/2019 15:50
25,176808,Google Phone,1,600,04/28/19 18:03,"933 Meadow St, San Francisco, CA 94016",28/04/2019 18:03
26,176808,Wired Headphones,1,11.99,04/28/19 18:03,"933 Meadow St, San Francisco, CA 94016",28/04/2019 18:03
27,176813,Google Phone,1,600,04/28/19 18:01,"269 Hill St, Atlanta, GA 30301",28/04/2019 18:01
28,176813,Wired Headphones,1,11.99,04/28/19 18:01,"269 Hill St, Atlanta, GA 30301",28/04/2019 18:01
29,176935,AAA Batteries (4-pack),1,2.99,04/03/19 21:31,"315 1st St, Dallas, TX 75001",03/04/2019 21:31
30,176935,27in FHD Monitor,1,149.99,04/03/19 21:31,"315 1st St, Dallas, TX 75001",03/04/2019 21:31
31,176975,USB-C Charging Cable,1,11.95,04/23/19 15:46,"28 13th St, San Francisco, CA 94016",23/04/2019 15:46
32,176975,AAA Batteries (4-pack),1,2.99,04/23/19 15:46,"28 13th St, San Francisco, CA 94016",23/04/2019 15:46
33,176989,Google Phone,1,600,04/09/19 13:43,"346 9th St, Los Angeles, CA 90001",09/04/2019 13:43
34,176989,USB-C Charging Cable,1,11.95,04/09/19 13:43,"346 9th St, Los Angeles, CA 90001",09/04/2019 13:43
35,176993,iPhone,1,700,04/07/19 09:43,"28 South St, Los Angeles, CA 90001",07/04/2019 09:43
36,176993,Wired Headphones,1,11.99,04/07/19 09:43,"28 South St, Los Angeles, CA 90001",07/04/2019 09:43
37,177022,iPhone,1,700,04/17/19 18:14,"216 Chestnut St, Los Angeles, CA 90001",17/04/2019 18:14
38,177022,Wired Headphones,1,11.99,04/17/19 18:14,"216 Chestnut St, Los Angeles, CA 90001",17/04/2019 18:14
39,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
40,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
41,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
42,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
43,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
44,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
45,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
46,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
47,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
48,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
49,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
50,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
51,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
52,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
53,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
54,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
55,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
56,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
57,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
58,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
59,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
60,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
61,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
62,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
63,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
64,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
65,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
66,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
67,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
68,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
69,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
70,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
71,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
72,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
73,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
74,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
75,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
76,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
77,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
78,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
79,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
80,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
81,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
82,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
83,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
84,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
85,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
86,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
87,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
88,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
89,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
90,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
91,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
92,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
93,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
94,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
95,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
96,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
97,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
98,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
99,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
100,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
101,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
102,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
103,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
104,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
105,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
106,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
107,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
108,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
109,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
110,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
111,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
112,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
113,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
114,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
115,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
116,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
117,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
118,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
119,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
120,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
121,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
122,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
123,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
124,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
125,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
126,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
127,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
128,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
129,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
130,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
131,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
132,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
133,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
134,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
135,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
136,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
137,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
138,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
139,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
140,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
141,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
142,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
143,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
144,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
145,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
146,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
147,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
148,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
149,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
150,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
151,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
152,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
153,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
154,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
155,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
156,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
157,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
158,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
159,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
160,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
161,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
162,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
163,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
164,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
165,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
166,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
167,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
168,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
169,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
170,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
171,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
172,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
173,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
174,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
175,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
176,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
177,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
178,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
179,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
180,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
181,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
182,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
183,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
184,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
185,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
186,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
187,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
188,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
189,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
190,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
191,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
192,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
193,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
194,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
195,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
196,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
197,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
198,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
199,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
200,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
201,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
202,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
203,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
204,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
205,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
206,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
207,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
208,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
209,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
210,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
211,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
212,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
213,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
214,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
215,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
216,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
217,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
218,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
219,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
220,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
221,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
222,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
223,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
224,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
225,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
226,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
227,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
228,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
229,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
230,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
231,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
232,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
233,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
234,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
235,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
236,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
237,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
238,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
239,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
240,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
241,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
242,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
243,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
244,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
245,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
246,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
247,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
248,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
249,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
250,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
251,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
252,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
253,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
254,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
255,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
256,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
257,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
258,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
259,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
260,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
261,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
262,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
263,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
264,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
265,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
266,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
267,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
268,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
269,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
270,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
271,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
272,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
273,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
274,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
275,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
276,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
277,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
278,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
279,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
280,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
281,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
282,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
283,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
284,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,
